MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS
A00021,12,150000,S,M,600000,1,TYPE-B,27,0,ANNUAL,5766,INFORCE
A00022,12,100000,S,M,200004,1,TYPE-B,25,0,ANNUAL,2344,INFORCE
A00023,37,100000,M,M,720000,1,TYPE-B,38,2,ANNUAL,7555,INFORCE
A00024,12,100000,M,F,135096,1,TYPE-B,39,1,ANNUAL,11544,INFORCE
A00025,12,125000,M,M,480000,1,TYPE-B,29,2,ANNUAL,27288,INFORCE
A00026,12,100000,M,M,399996,1,TYPE-B,22,3,SEMI-ANNUAL,23766,INFORCE
A00027,12,200000,S,M,200004,1,TYPE-B,22,0,SEMI-ANNUAL,30522,INFORCE
A00028,12,100000,M,M,360000,1,TYPE-B,59,3,SEMI-ANNUAL,7999,INFORCE
A00029,12,100000,,,,1,TYPE-B,56,0,ANNUAL,5311,INFORCE
A00030,12,100000,S,M,1700004,1,TYPE-B,25,0,QUARTERLY,10966,CANCELLED
A00031,12,100000,M,M,245004,1,TYPE-B,44,1,QUARTERLY,26055,INFORCE
A00032,12,200000,M,M,1624080,1,TYPE-B,45,3,SEMI-ANNUAL,30455,CANCELLED
A00033,12,500000,M,M,1500000,1,TYPE-B,46,3,ANNUAL,37900,INFORCE
A00034,12,100000,M,M,1500000,1,TYPE-B,46,3,ANNUAL,37900,INFORCE
A00035,12,100000,S,M,249996,1,TYPE-B,28,0,SEMI-ANNUAL,41000,CANCELLED
A00036,47,100000,S,M,350004,1,TYPE-B,26,0,QUARTERLY,51322,CANCELLED
A00037,64,100000.02,,,,1,TYPE-B,44,0,ANNUAL,32477,INFORCE
A00038,37,100000,,,,1,TYPE-B,44,3,ANNUAL,32488,INFORCE
A00039,12,100000,M,M,200004,1,TYPE-B,34,3,ANNUAL,53777,INFORCE
A00040,17,201049.33,,,,1,TYPE-A,60,0,ANNUAL,200533,INFORCE
A00041,12,500004.96,M,M,399996,1,TYPE-B,29,2,MONTHLY,200533,INFORCE
A00042,32,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,INFORCE
A00043,12,100000,M,F,,4,TYPE-B,28,3,ANNUAL,16844,INFORCE
A00044,12,271007.1,M,M,12000000,1,TYPE-A,51,3,ANNUAL,32477,CANCELLED
A00045,53,199999.99,,,,1,TYPE-B,44,0,ANNUAL,11266,CANCELLED
A00046,12,100000,M,M,600000,1,TYPE-B,28,3,SEMI-ANNUAL,44511,CANCELLED
A00047,17,249995.88,M,M,357000,1,TYPE-B,30,2,MONTHLY,30066,CANCELLED
A00048,17,100000,M,M,243828,1,TYPE-B,35,2,ANNUAL,85711,INFORCE
A00049,17,100000,M,M,350004,1,TYPE-B,35,2,SEMI-ANNUAL,67933,INFORCE
A00050,12,100000,M,M,399996,1,TYPE-B,33,1,ANNUAL,63288,INFORCE
A00051,12,150000,M,M,1083324,1,TYPE-B,47,3,ANNUAL,47399,INFORCE
A00052,17,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,INFORCE
A00053,37,100000,M,M,999996,1,TYPE-B,38,3,SEMI-ANNUAL,30244,CANCELLED
A00054,12,100000,,,,1,TYPE-B,36,2,ANNUAL,39011,INFORCE
A00055,12,200000,S,M,804000,1,TYPE-B,28,0,ANNUAL,29955,INFORCE
A00056,17,119999.88,M,M,300000,1,TYPE-B,56,3,MONTHLY,87822,INFORCE
A00057,12,100000,S,M,399996,5,TYPE-B,28,0,ANNUAL,38555,CANCELLED
A00058,12,100000,M,F,,4,TYPE-B,37,3,ANNUAL,1800,INFORCE
A00059,17,100000,M,M,2100000,5,TYPE-B,57,3,ANNUAL,2344,INFORCE
A00060,35,180001.44,M,M,380004,1,TYPE-B,39,2,MONTHLY,29322,INFORCE
A00061,17,100000,,,,1,TYPE-B,40,0,ANNUAL,47399,INFORCE
A00062,17,100000,M,M,999996,1,TYPE-B,34,1,ANNUAL,27355,INFORCE
A00063,71,100000.02,,,,1,TYPE-B,40,0,ANNUAL,47399,INFORCE
A00064,27,100000,M,M,750120,1,TYPE-B,37,2,ANNUAL,21255,INFORCE
A00065,12,200000,M,F,,4,TYPE-B,53,1,ANNUAL,27933,CANCELLED
A00066,17,100000,M,M,750000,1,TYPE-B,44,1,ANNUAL,42555,INFORCE
A00067,12,100000,M,M,399996,1,TYPE-B,34,3,QUARTERLY,68022,INFORCE
A00068,12,120000.96,S,M,453996,1,TYPE-B,25,0,MONTHLY,34799,INFORCE
A00069,17,100000,M,M,108036,1,TYPE-B,34,2,ANNUAL,91233,CANCELLED
A00070,17,200000,M,M,600000,1,TYPE-B,43,1,ANNUAL,41611,CANCELLED
A00071,17,125000,M,M,999996,1,TYPE-B,48,3,ANNUAL,41688,INFORCE
A00072,17,100000,,,,1,TYPE-B,30,0,ANNUAL,33844,INFORCE
A00073,44,103375,S,M,2499996,1,TYPE-B,28,0,ANNUAL,108599,INFORCE
A00074,12,150000,S,M,300000,5,TYPE-B,23,0,ANNUAL,111799,INFORCE
A00075,12,100000,M,M,188604,1,TYPE-B,45,2,ANNUAL,110600,INFORCE
A00076,17,103998.96,M,M,3600000,5,TYPE-B,57,2,ANNUAL,2299,CANCELLED
A00077,17,599999.88,M,F,,4,TYPE-B,53,2,MONTHLY,87822,INFORCE
A00078,17,251000,M,M,360000,1,TYPE-B,34,2,ANNUAL,41788,CANCELLED
A00079,12,100238.28,,,,1,TYPE-B,43,2,MONTHLY,117722,INFORCE
A00080,57,100000.02,,,,1,TYPE-B,50,0,ANNUAL,51944,CANCELLED
A00081,17,200000,M,F,459996,1,TYPE-B,56,2,ANNUAL,20811,CANCELLED
A00082,12,201000,M,M,,6,TYPE-B,51,1,ANNUAL,119477,CANCELLED
A00083,27,100000,M,M,399996,1,TYPE-B,38,3,SEMI-ANNUAL,56900,INFORCE
A00084,12,150000,M,M,450000,1,TYPE-B,30,3,ANNUAL,98022,INFORCE
A00085,17,100001.76,,,,1,TYPE-B,29,0,MONTHLY,7555,CANCELLED
A00086,27,100000,S,M,240000,1,TYPE-B,25,0,SEMI-ANNUAL,31711,CANCELLED
A00087,12,125000,M,M,500004,5,TYPE-B,37,3,ANNUAL,57322,CANCELLED
A00088,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,INFORCE
A00089,17,100000,,,,4,TYPE-B,78,0,ANNUAL,41744,CANCELLED
A00090,17,100000,M,F,,4,TYPE-B,35,1,ANNUAL,105755,CANCELLED
A00091,17,100000,M,M,600000,1,TYPE-B,50,3,ANNUAL,2422,INFORCE
A00092,17,100000,,,,1,TYPE-B,56,0,ANNUAL,37711,INFORCE
A00093,17,100000,,,,1,TYPE-B,49,0,SEMI-ANNUAL,47399,INFORCE
A00094,17,100000,M,M,324996,1,TYPE-B,57,2,ANNUAL,27933,CANCELLED
A00095,27,100000,M,M,1250004,5,TYPE-B,36,1,ANNUAL,7555,CANCELLED
A00096,12,150000,,,,4,TYPE-B,27,3,ANNUAL,122577,CANCELLED
A00097,17,100000,,,,1,TYPE-B,42,0,ANNUAL,3077,CANCELLED
A00098,12,119999.88,S,M,450000,1,TYPE-B,24,0,MONTHLY,91744,CANCELLED
A00099,12,105000,S,M,600000,1,TYPE-B,26,0,SEMI-ANNUAL,111433,INFORCE
A00100,17,100000,M,F,150000,1,TYPE-B,55,2,SEMI-ANNUAL,152900,INFORCE
A00101,12,1050000,M,M,1950000,1,TYPE-B,45,1,ANNUAL,154400,CANCELLED
A00102,17,450000,M,M,1950000,1,TYPE-B,45,1,ANNUAL,154400,CANCELLED
A00103,12,150000,W,F,324996,1,TYPE-B,43,0,ANNUAL,88799,CANCELLED
A00104,17,100000,,,,1,TYPE-B,51,0,SEMI-ANNUAL,26511,CANCELLED
A00105,12,100000,M,F,125004,1,TYPE-B,47,3,ANNUAL,119633,INFORCE
A00106,17,200000,,,,1,TYPE-B,47,3,ANNUAL,62822,INFORCE
A00107,27,100000,M,M,1224732,1,TYPE-B,33,1,SEMI-ANNUAL,97200,INFORCE
A00108,17,101000,S,M,999996,5,TYPE-B,22,0,ANNUAL,70522,INFORCE
A00109,12,100000,M,M,399996,1,TYPE-B,25,3,ANNUAL,105377,INFORCE
A00110,17,100000,M,M,399996,1,TYPE-B,36,2,ANNUAL,11988,INFORCE
A00111,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,CANCELLED
A00112,17,100000.8,S,F,,4,TYPE-B,20,0,MONTHLY,13111,INFORCE
A00113,17,100000,,,,1,TYPE-B,45,0,SEMI-ANNUAL,33844,INFORCE
A00114,50,199998,M,M,600000,1,TYPE-B,34,2,SEMI-ANNUAL,130999,INFORCE
A00115,41,100000,M,M,699996,1,TYPE-B,43,2,ANNUAL,144355,INFORCE
A00116,12,100000,,,,1,TYPE-B,63,2,ANNUAL,19733,INFORCE
A00117,17,100000,S,M,900000,1,TYPE-B,25,0,ANNUAL,117155,INFORCE
A00118,12,150000,S,F,200004,1,TYPE-B,27,0,SEMI-ANNUAL,132500,INFORCE
A00119,17,100000,M,M,6340476,5,TYPE-B,57,2,ANNUAL,105999,CANCELLED
A00120,32,200000,W,F,2000004,1,TYPE-B,52,0,ANNUAL,30633,INFORCE
A00121,53,101000,M,M,480000,1,TYPE-B,29,1,ANNUAL,125855,CANCELLED
A00122,17,125000,,,,1,TYPE-B,49,0,ANNUAL,700,INFORCE
A00123,43,149999,M,M,1200000,1,TYPE-B,41,1,ANNUAL,163066,CANCELLED
A00124,44,100000,M,M,360000,1,TYPE-B,40,1,ANNUAL,163066,CANCELLED
A00125,12,216000,M,M,249996,1,TYPE-B,44,2,ANNUAL,152822,INFORCE
A00126,35,200000,M,M,8400000,1,TYPE-B,49,1,ANNUAL,700,INFORCE
A00127,12,100000,S,M,499992,1,TYPE-B,28,0,QUARTERLY,157622,CANCELLED
A00128,41,100000,M,M,429996,1,TYPE-B,43,2,ANNUAL,48644,CANCELLED
A00129,12,100000,M,M,600000,1,TYPE-B,45,1,QUARTERLY,43711,INFORCE
A00130,27,150000,M,M,399996,1,TYPE-B,28,3,ANNUAL,152822,INFORCE
A00131,17,100000,S,M,200004,1,TYPE-B,38,0,ANNUAL,146166,CANCELLED
A00132,61,100000,S,M,350004,1,TYPE-B,21,0,ANNUAL,112877,CANCELLED
A00133,33,120000.96,M,M,500004,1,TYPE-B,51,1,MONTHLY,121044,INFORCE
A00134,41,300000,M,M,1023996,1,TYPE-B,43,2,QUARTERLY,143100,CANCELLED
A00135,28,460000,M,M,999996,1,TYPE-B,56,1,SEMI-ANNUAL,86244,CANCELLED
A00136,51,250000,M,M,500004,1,TYPE-B,33,1,ANNUAL,128111,CANCELLED
A00137,12,120000.96,M,F,279996,1,TYPE-B,29,1,MONTHLY,21144,INFORCE
A00138,17,100000,M,F,,4,TYPE-B,38,1,ANNUAL,37900,CANCELLED
A00139,22,100000,S,M,200004,1,TYPE-B,26,0,ANNUAL,109299,INFORCE
A00140,41,102000.72,M,M,2000004,1,TYPE-B,34,3,MONTHLY,32688,INFORCE
A00141,17,100000,M,M,9999996,1,TYPE-B,49,1,ANNUAL,49188,CANCELLED
A00142,17,132002.04,M,M,324996,1,TYPE-B,54,2,MONTHLY,130499,INFORCE
A00143,17,100000,M,M,999996,1,TYPE-B,39,3,ANNUAL,121544,INFORCE
A00144,22,100005,M,F,300000,1,TYPE-B,34,2,ANNUAL,20188,INFORCE
A00145,17,100000,M,F,360000,1,TYPE-B,27,2,ANNUAL,159500,CANCELLED
A00146,54,100000,M,M,450000,1,TYPE-B,29,2,ANNUAL,104099,INFORCE
A00147,17,100000,M,M,230004,1,TYPE-B,47,1,ANNUAL,163966,INFORCE
A00148,40,100000,M,M,399996,1,TYPE-B,45,3,ANNUAL,98011,INFORCE
A00149,22,100005,M,M,500004,1,TYPE-B,36,1,ANNUAL,20188,INFORCE
A00150,12,100000.8,S,M,150000,1,TYPE-B,33,0,MONTHLY,67766,CANCELLED
A00151,12,108000.84,S,M,600000,1,TYPE-B,27,0,MONTHLY,87111,INFORCE
A00152,53,150000,,,,1,TYPE-B,66,3,ANNUAL,39722,INFORCE
A00153,58,175000,S,M,300000,1,TYPE-B,25,0,ANNUAL,158600,CANCELLED
A00154,12,101250.72,,,,1,TYPE-B,43,2,MONTHLY,67744,INFORCE
A00155,27,110250,,,,1,TYPE-B,66,3,ANNUAL,156299,CANCELLED
A00156,17,100000,M,M,249996,1,TYPE-B,36,2,SEMI-ANNUAL,163966,CANCELLED
A00157,12,100000,M,M,249996,1,TYPE-B,28,1,QUARTERLY,43444,CANCELLED
A00158,36,200000,S,M,249996,1,TYPE-B,49,0,ANNUAL,138366,CANCELLED
A00159,34,100000,M,F,300000,1,TYPE-B,51,2,ANNUAL,138500,INFORCE
A00160,46,100000,M,M,290004,1,TYPE-B,39,3,ANNUAL,126977,CANCELLED
A00161,41,100000,M,M,600000,1,TYPE-B,44,1,ANNUAL,28711,CANCELLED
A00162,17,100000,M,F,,4,TYPE-B,50,2,SEMI-ANNUAL,100533,INFORCE
A00163,29,120000,M,F,300000,1,TYPE-B,56,1,QUARTERLY,54100,INFORCE
A00164,17,100000,M,M,249996,1,TYPE-B,56,1,SEMI-ANNUAL,100533,INFORCE
A00165,59,100000,,,,1,TYPE-B,53,0,ANNUAL,97477,INFORCE
A00166,40,100000,M,F,800004,1,TYPE-B,45,3,ANNUAL,143400,INFORCE
A00167,17,100000,M,M,3750000,1,TYPE-B,38,1,ANNUAL,150566,INFORCE
A00168,40,300001,M,F,1080000,1,TYPE-B,45,3,ANNUAL,138366,CANCELLED
A00169,42,200000,S,F,600000,1,TYPE-B,43,0,ANNUAL,138366,CANCELLED
A00170,55,100000,M,M,450000,1,TYPE-B,28,1,ANNUAL,149099,CANCELLED
A00171,42,200000,M,M,1800000,1,TYPE-B,43,2,ANNUAL,121133,INFORCE
A00172,42,200000,M,M,1800000,1,TYPE-B,43,2,ANNUAL,121133,INFORCE
A00173,12,100000,M,F,,4,TYPE-B,38,2,ANNUAL,174766,INFORCE
A00174,49,126351.88,M,M,120000,1,TYPE-B,36,1,QUARTERLY,45422,INFORCE
A00175,45,125000,M,F,375000,1,TYPE-B,40,1,ANNUAL,44900,CANCELLED
A00176,43,200000,M,M,800004,1,TYPE-B,41,3,ANNUAL,44900,CANCELLED
A00177,12,100000,M,M,,6,TYPE-B,61,3,ANNUAL,140400,INFORCE
A00178,17,100000,S,M,420000,1,TYPE-B,26,0,QUARTERLY,170200,INFORCE
A00179,32,103950,M,M,240000,1,TYPE-B,53,2,ANNUAL,109111,CANCELLED
A00180,45,102102.53,M,M,300000,1,TYPE-B,40,3,ANNUAL,36677,INFORCE
A00181,17,100000,M,F,,4,TYPE-B,24,3,ANNUAL,160111,INFORCE
A00182,48,100000,M,M,300000,5,TYPE-B,37,3,ANNUAL,99966,CANCELLED
A00183,12,100000,M,F,399996,1,TYPE-B,38,1,ANNUAL,174766,CANCELLED
A00184,12,120000.12,M,F,,4,TYPE-B,41,2,MONTHLY,57844,INFORCE
A00185,22,100000,M,F,,4,TYPE-B,35,2,SEMI-ANNUAL,149244,CANCELLED
A00186,23,700035,M,M,23799996,1,TYPE-B,52,3,ANNUAL,43688,INFORCE
A00187,12,120000.96,M,M,450000,1,TYPE-B,46,3,MONTHLY,57844,INFORCE
A00188,12,100000,M,M,300000,1,TYPE-B,48,1,QUARTERLY,49633,CANCELLED
A00189,40,100000,,,,5,TYPE-B,69,3,ANNUAL,163066,CANCELLED
A00190,12,120000.96,S,M,300000,1,TYPE-B,28,0,MONTHLY,110622,CANCELLED
A00191,43,1000000,M,M,6000000,1,TYPE-B,42,2,ANNUAL,187377,INFORCE
A00192,44,1000000,M,F,300000,1,TYPE-B,41,3,ANNUAL,186899,INFORCE
A00193,12,511000,S,M,1700004,1,TYPE-B,30,0,ANNUAL,111233,INFORCE
A00194,41,100000,M,M,420000,1,TYPE-B,44,1,ANNUAL,105755,INFORCE
A00195,64,100000,,,,1,TYPE-B,48,0,ANNUAL,49033,INFORCE
A00196,41,100000,M,F,900000,1,TYPE-B,44,2,ANNUAL,143477,CANCELLED
A00197,17,100000.8,S,M,500004,1,TYPE-B,28,0,MONTHLY,200533,INFORCE
A00198,42,100000,M,M,399996,1,TYPE-B,43,2,SEMI-ANNUAL,187199,CANCELLED
A00199,12,150000,M,M,600000,1,TYPE-B,30,3,SEMI-ANNUAL,3455,INFORCE
A00200,17,100000,,,,1,TYPE-B,44,0,ANNUAL,96455,INFORCE
A00201,12,100000,M,M,2499996,1,TYPE-B,40,3,ANNUAL,11477,INFORCE
A00202,51,199500,M,M,218004,1,TYPE-B,34,1,ANNUAL,98011,INFORCE
A00203,52,100000,M,M,2799996,1,TYPE-B,33,3,SEMI-ANNUAL,149988,INFORCE
A00204,49,100000,M,M,360000,1,TYPE-B,36,2,SEMI-ANNUAL,187388,INFORCE
A00205,62,125000,S,M,420000,1,TYPE-B,21,0,ANNUAL,149099,INFORCE
A00206,41,100000,M,F,450000,1,TYPE-B,44,3,ANNUAL,121133,CANCELLED
A00207,12,100000,M,M,180000,5,TYPE-B,43,2,ANNUAL,123033,CANCELLED
A00208,45,200000,M,M,600000,1,TYPE-B,40,2,SEMI-ANNUAL,114166,INFORCE
A00209,12,100000,M,M,300000,1,TYPE-B,28,1,SEMI-ANNUAL,54855,CANCELLED
A00210,17,100000,M,M,500004,1,TYPE-B,51,2,QUARTERLY,145688,INFORCE
A00211,12,100000.8,S,M,500004,1,TYPE-B,27,0,MONTHLY,51166,INFORCE
A00212,12,108000.84,M,M,600000,1,TYPE-B,29,3,MONTHLY,120411,INFORCE
A00213,17,130000,M,M,500004,1,TYPE-B,49,1,ANNUAL,128133,INFORCE
A00214,31,120000.96,M,M,399996,1,TYPE-B,54,2,MONTHLY,17277,INFORCE
A00215,17,100000,M,M,350004,1,TYPE-B,39,3,ANNUAL,125455,CANCELLED
A00216,17,100000,M,F,249996,1,TYPE-B,42,1,ANNUAL,179166,INFORCE
A00217,12,108000.84,,,,1,TYPE-B,29,2,MONTHLY,120411,INFORCE
A00218,45,250000,M,M,500004,1,TYPE-B,40,2,ANNUAL,149099,INFORCE
A00219,31,100000,M,M,275004,1,TYPE-B,44,3,ANNUAL,10077,INFORCE
A00220,56,240001.92,S,M,800004,1,TYPE-B,27,0,MONTHLY,136888,CANCELLED
A00221,32,100000,M,M,600000,1,TYPE-B,53,2,ANNUAL,138722,INFORCE
A00222,12,100000,S,M,399996,1,TYPE-B,24,0,ANNUAL,120411,INFORCE
A00223,12,200000,S,M,999996,1,TYPE-B,33,0,QUARTERLY,138011,CANCELLED
A00224,12,100000,S,M,249996,1,TYPE-B,26,0,SEMI-ANNUAL,13799,INFORCE
A00225,17,100000,M,F,,4,TYPE-B,25,1,QUARTERLY,162600,INFORCE
A00226,17,143999.88,M,M,350004,1,TYPE-B,57,2,MONTHLY,61088,CANCELLED
A00227,39,240000,M,M,600000,1,TYPE-B,46,3,MONTHLY,109655,INFORCE
A00228,52,102000.84,M,M,500004,1,TYPE-B,30,3,MONTHLY,114211,CANCELLED
A00229,29,200000,M,F,849996,1,TYPE-B,56,1,ANNUAL,66088,INFORCE
A00230,61,150000,,,,1,TYPE-B,66,0,SEMI-ANNUAL,121422,CANCELLED
A00231,12,100000,M,M,,6,TYPE-B,58,3,ANNUAL,44811,INFORCE
A00232,34,100000,M,M,399996,1,TYPE-B,50,1,ANNUAL,1477,INFORCE
A00233,34,100000,M,M,399996,1,TYPE-B,50,3,ANNUAL,178377,INFORCE
A00234,50,150000,M,M,720000,1,TYPE-B,35,3,ANNUAL,186899,INFORCE
A00235,27,200001.6,M,M,4500000,1,TYPE-B,45,1,MONTHLY,200533,INFORCE
A00236,12,150001.2,M,M,380004,1,TYPE-B,42,1,MONTHLY,110622,CANCELLED
A00237,12,100000,M,M,170004,5,TYPE-B,46,3,ANNUAL,119633,INFORCE
A00238,12,100000,M,F,,4,TYPE-B,35,2,ANNUAL,152833,INFORCE
A00239,17,100000,,,,1,TYPE-B,48,0,ANNUAL,185333,INFORCE
A00240,12,100000,M,M,429996,1,TYPE-B,41,1,ANNUAL,17277,INFORCE
A00241,51,199996,S,M,699996,1,TYPE-B,34,0,QUARTERLY,53611,CANCELLED
A00242,29,100000,M,M,500004,1,TYPE-B,56,1,ANNUAL,54100,INFORCE
A00243,17,100000,M,M,249996,1,TYPE-B,56,2,SEMI-ANNUAL,100533,INFORCE
A00244,17,100000,,,,1,TYPE-B,68,0,ANNUAL,17277,INFORCE
A00245,12,100000,M,F,200004,1,TYPE-B,37,1,SEMI-ANNUAL,112988,INFORCE
A00246,36,100000,W,F,360000,1,TYPE-B,48,0,ANNUAL,95099,INFORCE
A00247,12,101250.72,,,,1,TYPE-B,43,2,MONTHLY,67744,CANCELLED
A00248,27,100000,M,M,380004,1,TYPE-B,28,1,ANNUAL,142088,CANCELLED
A00249,17,200000,M,M,2000004,1,TYPE-B,33,2,ANNUAL,192766,INFORCE
A00250,57,100000.8,S,M,150000,1,TYPE-B,26,0,MONTHLY,67766,INFORCE
A00251,64,120000.96,S,F,420000,1,TYPE-B,19,0,MONTHLY,13944,INFORCE
A00252,17,100000,M,M,375000,1,TYPE-B,35,3,QUARTERLY,166177,INFORCE
A00253,17,101000,S,M,360000,1,TYPE-B,28,0,ANNUAL,184300,INFORCE
A00254,27,200000,M,M,500004,1,TYPE-B,36,3,SEMI-ANNUAL,186899,INFORCE
A00255,27,100000,M,M,500004,1,TYPE-B,33,2,SEMI-ANNUAL,186899,INFORCE
A00256,55,100000.8,S,M,200004,1,TYPE-B,28,0,MONTHLY,67766,INFORCE
A00257,12,100000,M,M,300000,1,TYPE-B,38,2,SEMI-ANNUAL,197666,INFORCE
A00258,12,199007.88,M,F,519996,1,TYPE-B,30,3,MONTHLY,89800,CANCELLED
A00259,44,500000,M,M,1500000,1,TYPE-B,41,3,ANNUAL,168777,INFORCE
A00260,12,150000,M,M,300000,1,TYPE-B,44,3,SEMI-ANNUAL,85622,INFORCE
A00261,12,101047.5,M,M,500004,5,TYPE-B,54,2,SEMI-ANNUAL,126155,INFORCE
A00262,17,100000,,,,1,TYPE-B,58,0,ANNUAL,13111,INFORCE
A00263,54,100000.8,S,M,800004,1,TYPE-B,28,0,MONTHLY,13944,CANCELLED
A00264,38,105000,M,M,1500000,1,TYPE-B,47,1,ANNUAL,37900,INFORCE
A00265,17,100000.8,M,M,1899996,1,TYPE-B,40,2,MONTHLY,88255,INFORCE
A00266,12,100000,M,M,600000,1,TYPE-B,46,1,QUARTERLY,43711,CANCELLED
A00267,12,120000,M,M,1200000,1,TYPE-B,36,3,QUARTERLY,163100,CANCELLED
A00268,17,100000,M,M,1400004,1,TYPE-B,38,2,ANNUAL,131022,INFORCE
A00269,34,1500000,M,M,2499996,1,TYPE-B,51,1,ANNUAL,95477,INFORCE
A00270,43,1500000,,,,1,TYPE-B,51,3,ANNUAL,95477,INFORCE
A00271,12,100000,S,M,500004,1,TYPE-B,22,0,QUARTERLY,89800,CANCELLED
A00272,55,300000,M,M,999996,1,TYPE-B,28,1,SEMI-ANNUAL,145100,INFORCE
A00273,49,199999,M,F,5000004,1,TYPE-B,36,1,ANNUAL,125655,INFORCE
A00274,41,199999,M,M,5000004,1,TYPE-B,44,2,ANNUAL,125655,INFORCE
A00275,17,120000,M,M,249996,1,TYPE-B,34,2,ANNUAL,109099,INFORCE
A00276,17,100000,,,,1,TYPE-B,53,0,ANNUAL,47399,CANCELLED
A00277,28,100000,,,,1,TYPE-B,38,0,ANNUAL,117244,INFORCE
A00278,12,100000,M,F,,4,TYPE-B,40,3,SEMI-ANNUAL,141877,INFORCE
A00279,39,100000,M,M,600000,1,TYPE-B,36,3,ANNUAL,119199,INFORCE
A00280,41,500000,M,M,279996,1,TYPE-B,44,3,ANNUAL,186899,INFORCE
A00281,17,200000,M,M,500004,1,TYPE-B,42,2,SEMI-ANNUAL,194633,CANCELLED
A00282,12,100000,M,M,360000,1,TYPE-B,45,3,ANNUAL,188844,INFORCE
A00283,22,124999.98,M,M,500004,1,TYPE-B,28,1,ANNUAL,183644,INFORCE
A00284,39,100000,M,M,399996,1,TYPE-B,46,1,ANNUAL,116011,INFORCE
A00285,17,150000,M,F,2000004,1,TYPE-B,28,3,ANNUAL,41744,INFORCE
A00286,40,280000,M,M,300000,1,TYPE-B,45,2,ANNUAL,113166,INFORCE
A00287,30,100000.8,M,M,600000,1,TYPE-B,44,3,MONTHLY,164744,CANCELLED
A00288,12,100000,M,M,399996,1,TYPE-B,62,1,QUARTERLY,188899,INFORCE
A00289,12,200000,M,M,1440000,1,TYPE-B,27,3,ANNUAL,119422,INFORCE
A00290,17,100000,,,,1,TYPE-B,28,2,ANNUAL,47399,INFORCE
A00291,34,198003.6,M,M,510000,1,TYPE-B,51,3,MONTHLY,128111,CANCELLED
A00292,21,100000,M,M,399996,1,TYPE-B,54,1,ANNUAL,155077,INFORCE
A00293,17,100000,M,M,440004,1,TYPE-B,39,2,SEMI-ANNUAL,170177,INFORCE
A00294,12,140000,M,M,420000,1,TYPE-B,62,2,ANNUAL,53777,INFORCE
A00295,12,150000,S,M,579996,1,TYPE-B,25,0,SEMI-ANNUAL,114133,INFORCE
